sample_id,split,label,ne,halpha_fwhm_l,halpha_centre,halpha_ok,T_boltz,T_boltz_se,r2_boltz,intercept_boltz
train_001,train,2.0,3.238314081980094e+17,1.2199850148348024,656.3023983219726,True,8192.467782459917,194.31013166110682,0.9910794860365593,3.049284814575266
train_002,train,5.0,3.081668990434859e+17,1.1795652640220307,656.3101057444043,True,7985.826138520555,191.12731691835208,0.9909183724287007,3.1417026085330524
train_003,train,2.0,3.2666355452193344e+17,1.2272253648013158,656.3089912118286,True,8009.987003063729,191.54966483023475,0.9909330035495673,3.0895528446662675
train_004,train,4.0,3.018279026497518e+17,1.1630222879229002,656.3052567039225,True,7962.3470969002965,199.6475590402938,0.9900409266959961,3.158787918815882
train_005,train,5.0,3.269735359105076e+17,1.2280166048734973,656.3048862692913,True,7943.454101092259,192.35335569285857,0.9907050912416377,3.177111981594256
train_006,train,2.0,2.895687902515535e+17,1.130709731179192,656.3094016581117,True,7930.622185217301,196.48855459556046,0.9902739758551989,3.108725067397215
train_007,train,2.0,3.117530105115388e+17,1.188875665118497,656.3040714495831,True,7971.570530689903,187.35472818645007,0.9912392756924757,3.095185028388913
train_008,train,5.0,3.634001356722951e+17,1.3193998342534232,656.3244577374319,True,7930.146092213383,188.91248083116815,0.9910018470109391,3.003435067542323
train_009,train,3.0,3.0528688998326886e+17,1.1720629126729132,656.3076145293165,True,7954.535127300065,206.67802356520548,0.9893140496766373,3.1593461040311004
train_010,train,2.0,2.9423789793636646e+17,1.143067290595479,656.3074521713428,True,7935.058691393247,184.95288225918614,0.9913824634191026,3.079132675689703
train_011,train,3.0,3.1456322753161e+17,1.1961476910543034,656.2989514563624,True,7936.077155851671,192.78523945591658,0.990646492807781,3.125629938239581
train_012,train,5.0,3.170197731448129e+17,1.202487480029377,656.3029188934255,True,7935.473814461995,195.1659809116739,0.990414834172512,3.0022943597224936
train_013,train,2.0,3.1223711867041594e+17,1.1901298894195715,656.3024449883825,True,7967.738193194381,193.61885161882918,0.9906403167757106,3.152050429956426
train_014,train,5.0,3.207453507265042e+17,1.212072400426045,656.2971981272267,True,7767.074554228967,170.49951101938046,0.9923490429194801,3.1361668340765547
train_015,train,3.0,3.06611448027687e+17,1.1755161572684394,656.3135023333913,True,8004.61348352547,197.57610291395798,0.9903462699462844,3.111915462815341
train_016,train,4.0,3.4331642961786624e+17,1.2693992703295975,656.3316258645124,True,7932.210328737012,200.2375751061285,0.9899070732348298,2.986304956180531
train_017,train,2.0,3.18620616666059e+17,1.2066104233751151,656.3018139858519,True,7992.6312502561295,174.86296292135492,0.9923998392120847,3.046371007851147
train_018,train,5.0,3.1869592202416474e+17,1.2068042072596679,656.3012017804064,True,7940.431822407848,179.2704534794002,0.9919105003208836,2.9974125643784895
train_019,train,3.0,3.183519838594234e+17,1.205919028809449,656.2998517274604,True,7944.033890424225,191.96260404781822,0.9907438062329841,3.1352566135910345
train_020,train,2.0,2.8600024545138992e+17,1.1212218998877892,656.3095286600357,True,7928.538562428068,190.63453960942857,0.9908348798387435,3.089668819849241
train_021,train,5.0,3.2486422933872576e+17,1.2226277520933808,656.3107473534968,True,7987.341529752074,193.39794538163557,0.9907068202433011,3.1565955217216564
train_022,train,4.0,3.143997439760346e+17,1.1957252149724669,656.3092175357538,True,8093.10042305284,193.08204012051723,0.9909752189108817,3.0247595567615555
train_023,train,3.0,3.005591690641405e+17,1.1596979354347514,656.3073616093282,True,7943.31951568765,188.22485391969067,0.9910959913055002,3.076235486117933
train_024,train,5.0,3.309880074163767e+17,1.2382421019058234,656.3033744856808,True,8063.643780899286,198.59404279411086,0.9903884086725555,3.1273479592520816
train_025,train,5.0,3.267213576681739e+17,1.2273729279217618,656.3079622991652,True,7888.2175128175795,180.70664257648104,0.9916731827973906,2.9709980042310464
train_026,train,3.0,3.040097930614704e+17,1.168728854342407,656.3035905377186,True,7915.977726613183,193.94705835839468,0.9904868148752173,3.1270940676093906
train_027,train,2.0,3.0861634721734534e+17,1.1807340344006794,656.3025845577155,True,7997.868293494886,176.34645044997856,0.992281378005193,3.0354257221349266
train_028,train,4.0,3.0300154047819226e+17,1.1660934841826374,656.3072062010702,True,7962.429499582778,198.54174562555457,0.9901500625246163,3.1596445941488653
train_029,train,2.0,2.990528895819267e+17,1.1557453172771326,656.3021411481049,True,7993.282164274891,183.0949556504,0.9916748559751555,3.0326397579535915
train_030,train,5.0,3.229203123795571e+17,1.2176514998830328,656.3062508375115,True,8023.062441564976,181.8701632212241,0.9918453278901246,3.1081568197057723
train_031,train,4.0,3.001006342993052e+17,1.1584953708290056,656.3065588486189,True,7905.563338874158,193.2644986172855,0.990528354862913,3.146642387625506
train_032,train,3.0,3.209028950490165e+17,1.2124769314197248,656.3011280285527,True,7944.39906785411,194.0189276871849,0.9905471830872543,3.1477851638007373
train_033,train,1.0,2.9820623742434605e+17,1.1535208224796483,656.3039098736851,True,8082.952057346486,200.13914648027037,0.9902858537241387,2.981395360071427
train_034,train,2.0,3.1787968450289165e+17,1.2047029932911377,656.306389397056,True,8025.010942495833,199.10444454045265,0.9902470903580454,3.1929077740688356
