sample_id,split,label,depth_bin,shot_start,shot_stop,T_boltz,T_boltz_se,r2_boltz,intercept_boltz
train_001,train,2.0,0,1,1,8753.763960929204,374.013210774363,0.9716207455016578,3.028412354071558
train_002,train,5.0,0,1,1,8566.23614090104,337.661439742082,0.9757429351344129,3.366204356574851
train_003,train,2.0,0,1,1,8939.646578078988,555.736562821545,0.9417680697091084,3.3041086574247527
train_004,train,4.0,0,1,1,8492.009552895111,343.20250206523093,0.9745319320862033,3.604185708692644
train_005,train,5.0,0,1,1,8537.811426015403,365.9662899779744,0.9714421201232608,3.196812531777958
train_006,train,2.0,0,1,1,8748.754091758994,399.27366743773626,0.9677498302418622,3.5861949379186653
train_007,train,2.0,0,1,1,8694.961758096413,445.8707354503547,0.9596257506769207,3.312863313109983
train_008,train,5.0,0,1,1,8891.496569629544,674.6253703927772,0.9156606691027064,2.7920144600214236
train_009,train,3.0,0,1,1,8661.89998547712,351.434547089149,0.9743379023270696,2.9236425468769007
train_010,train,2.0,0,1,1,8800.748787660674,531.834974061954,0.9447957574478048,3.1746531081650216
train_011,train,3.0,0,1,1,8648.799697115688,339.3098711725364,0.9759654639734135,3.117363788584476
train_012,train,5.0,0,1,1,8551.124712733907,361.2316699897103,0.9722400520311755,3.4136696954242645
train_013,train,2.0,0,1,1,8588.481928445417,345.3146761195666,0.974786861444993,3.746455111302852
train_014,train,5.0,0,1,1,8784.688844293913,473.514319669496,0.9555778548390294,1.7228108055679483
train_015,train,3.0,0,1,1,8903.689294841912,596.9316708338359,0.9329083874147037,3.253216128326275
train_016,train,4.0,0,1,1,8572.15678383967,335.6406348413699,0.9760577827196488,3.306732786556415
train_017,train,2.0,0,1,1,8928.788254952276,536.2304087146604,0.9454403061010134,3.5300395663370585
train_018,train,5.0,0,1,1,8431.060560472413,325.00741760124055,0.9767759964392584,2.985207102599106
train_019,train,3.0,0,1,1,8667.941719522909,365.3539655214558,0.9723597082314823,3.2806199385598345
train_020,train,2.0,0,1,1,8739.309045890477,490.8885596533419,0.9519444854541619,3.188067055246419
train_021,train,5.0,0,1,1,8837.552386525114,471.3425675711356,0.9564688502937758,3.4526899904301733
train_022,train,4.0,0,1,1,8966.105450271823,560.0664196610935,0.9412387323037386,3.400485860952539
train_023,train,3.0,0,1,1,8768.374781062636,447.109837335308,0.9600599523410104,3.428449991218321
train_024,train,5.0,0,1,1,8716.101727290425,413.8775039785833,0.9651801089703363,3.227717147194567
train_025,train,5.0,0,1,1,9144.322310471043,751.1827754404137,0.9025504857847471,2.311298119459028
train_026,train,3.0,0,1,1,8584.864201492923,369.38872368419067,0.9712298316059738,3.24234128299001
train_027,train,2.0,0,1,1,8806.415302664587,504.4550517445136,0.9501179676455057,3.258067016423098
train_028,train,4.0,0,1,1,8730.151570472528,378.827225882639,0.9707539022427303,3.5917285464504856
train_029,train,2.0,0,1,1,8764.46151794327,443.82294002140543,0.9605882021988806,3.382021130964153
train_030,train,5.0,0,1,1,8811.167191414368,480.11773692127997,0.9546484563492366,3.295991932234079
train_031,train,4.0,0,1,1,8314.679063489835,263.3074523398939,0.9842078189489628,3.047732883709442
train_032,train,3.0,0,1,1,8543.3975251857,325.71408873964475,0.9772727120462104,3.293116592735741
train_033,train,1.0,0,1,1,8814.048293419637,471.637964690164,0.9561940906947144,3.068769241331694
train_034,train,2.0,0,1,1,8626.519631193865,391.09306600352187,0.968161202280732,3.8995851905155208
train_035,train,2.0,0,1,1,8551.676504121004,308.82370208778576,0.9795605137760692,3.270502232256732
train_036,train,2.0,0,1,1,8727.847677400596,387.4790803412027,0.9694284165925938,3.012863630863648
train_037,train,2.0,0,1,1,8773.650825340206,449.58019540267327,0.9596818216229757,3.4143800675490072
train_038,train,3.0,0,1,1,8885.298011636092,508.83257726936364,0.9501442398222268,3.3924738642083123
train_039,train,3.0,0,1,1,8676.917438956269,377.60620679430826,0.970589468335427,3.5087106921482123
train_040,train,2.0,0,1,1,8884.729656487934,453.30391008865865,0.9600157604645027,3.402505549253835
train_041,train,3.0,0,1,1,8713.741466672329,437.14035318517244,0.9612913972388035,3.307726747052085
train_042,train,2.0,0,1,1,8824.86296359746,480.84704709104204,0.9546515117752798,3.3272965023601846
train_043,train,4.0,0,1,1,8478.841112298134,289.7382248153866,0.9816591566927416,3.50962409121315
train_044,train,3.0,0,1,1,8897.342410276207,505.82192649462877,0.9508302859388836,3.313166066228184
train_045,train,3.0,0,1,1,8652.64645144831,337.82681574631187,0.976190788666237,3.704633872299421
train_046,train,4.0,0,1,1,8798.749824763405,513.3387686386009,0.9483517486896216,3.361981177991188
train_047,train,2.0,0,1,1,8735.671120394329,365.95571982964356,0.9726877207465849,3.162243576387218
train_048,train,4.0,0,1,1,8487.855540634855,339.40157288491855,0.9750551495118622,3.3975582143391554
train_049,train,2.0,0,1,1,8611.45763807476,346.83461193247314,0.9747021604367972,3.504086707734704
train_050,train,4.0,0,1,1,8488.271491701904,273.58274848075087,0.9836506771109024,2.9123631419183047
train_051,train,3.0,0,1,1,8911.37180581281,519.7715311677094,0.9483777208186402,3.331833669104293
train_052,train,3.0,0,1,1,8525.856183191177,307.66153572522194,0.979590381043761,3.385333706398212
train_053,train,3.0,0,1,1,8802.908747256055,450.2463569386956,0.959824629742669,3.5066035055316833
train_054,train,2.0,0,1,1,8767.799205098905,392.1755322607513,0.968981882398267,3.552670758605993
train_055,train,3.0,0,1,1,8731.835968907453,400.238824482548,0.9674771938784608,3.552753494365388
train_056,train,1.0,0,1,1,8693.330237300193,439.2181464987994,0.9607605128700677,3.4648608956503564
train_057,train,1.0,0,1,1,8572.544819841049,331.4461123864189,0.9766406313272961,3.4434870565689373
train_058,train,1.0,0,1,1,8697.015713619376,404.7268636775482,0.9665103919882622,3.2978531094735852
train_059,train,2.0,0,1,1,8830.390772387038,377.2803613079289,0.9716217402720465,3.063714712408382
train_060,train,3.0,0,1,1,8549.71944891098,323.81568785133186,0.9775634044074624,3.43466551503025
train_061,train,2.0,0,1,1,8694.89773797207,342.5966377465414,0.9757617637462594,3.2406566044106575
train_062,train,3.0,0,1,1,8892.550320007707,546.5089792396012,0.9430125287156905,3.3913547084151725
train_063,train,2.0,0,1,1,8676.813533224044,386.72015900524576,0.9691961666793606,3.039025502358511
train_064,train,2.0,0,1,1,8687.483612412017,350.55372839419846,0.9746094684319698,3.2451813936440157
train_065,train,3.0,0,1,1,8914.823549214969,506.69909937016615,0.9508518042825834,3.455662245906731
train_066,train,2.0,0,1,1,8600.029833372048,366.29796531349655,0.9717926246087745,3.8424370479104373
train_067,train,3.0,0,1,1,8815.00533405339,556.4784059105017,0.9400586647482702,3.005990698769689
train_068,train,3.0,0,1,1,8818.085013555923,461.29449470988715,0.9580514646336424,3.5193518820549126
train_069,train,2.0,0,1,1,8656.215674513453,351.75939679640464,0.9742587532518545,3.1144034430897096
train_070,train,2.0,0,1,1,8735.3357717782,428.454996137148,0.9629346575426695,3.5339625814677804
train_071,train,4.0,0,1,1,8703.471545745835,367.9079792737734,0.9722047174528998,3.5556085911162594
train_072,train,4.0,0,1,1,8718.340500878168,479.9771088462463,0.9537483551598679,3.17484652853893
train_073,train,2.0,0,1,1,8826.595363691846,559.9485559297359,0.9395037672393641,3.195083802867044
train_074,train,3.0,0,1,1,8726.909560571934,371.98751039968914,0.9717505153907192,3.1721060175766307
train_075,train,2.0,0,1,1,8683.073354867649,332.09720443982604,0.9771305317941802,3.0244313202744486
train_076,train,2.0,0,1,1,8733.136363648204,403.316943135413,0.9670011045297195,3.3936663240970018
train_077,train,3.0,0,1,1,8671.690856724688,360.53789290832736,0.9730867708286131,3.750451766385548
train_078,train,3.0,0,1,1,8757.768713711392,388.18892374238374,0.9695226448731216,3.1619195312852773
train_079,train,2.0,0,1,1,8947.015284352787,594.1011681319476,0.9341010780406273,3.2509573936811895
train_080,train,1.0,0,1,1,8660.73335341006,367.4495536408686,0.9720053682548206,3.4579246922107103
train_081,train,3.0,0,1,1,8975.30451178764,543.7787507298208,0.9445271462933157,3.525990053364825
train_082,train,3.0,0,1,1,8622.686578074368,341.6323971145507,0.9754992258258219,3.4380273170938453
train_083,train,1.0,0,1,1,8911.400990484783,525.8300338775937,0.9472314805167736,3.313034402132106
train_084,train,5.0,0,1,1,8751.720794935238,399.53661089879137,0.9677298938239891,3.560663099330033
train_085,train,3.0,0,1,1,8818.00936115399,416.55525593959845,0.9655262755600389,3.853659891536204
train_086,train,2.0,0,1,1,8828.691314265632,499.71584412143585,0.9512400038346615,3.2710531100719042
train_087,train,3.0,0,1,1,8696.092196594902,453.9039183295384,0.9582295517726682,3.3603811790650355
train_088,train,2.0,0,1,1,8660.4707705327,353.46052500796316,0.9740405285238772,3.578045070891266
train_089,train,2.0,0,1,1,8709.1710850262,388.2035046015096,0.9691898302853108,3.2009404257306238
train_090,train,4.0,0,1,1,8715.0349351218,403.9627737131317,0.9667657660848974,3.588378280350303
train_091,train,2.0,0,1,1,8957.016028883354,626.1052496869501,0.9274901082422686,3.3318476030798845
train_092,train,2.0,0,1,1,8609.294871319296,370.1586344422039,0.9712722529713458,3.6757875215598412
train_093,train,3.0,0,1,1,8576.358101683494,336.016265927665,0.976028388969474,3.4672988136049927
train_094,train,3.0,0,1,1,8744.702750888024,381.7724320161537,0.9704067397916719,3.3196436038640122
train_095,train,3.0,0,1,1,8628.860956398941,389.9602990913009,0.9683561762219544,3.490938966990041
train_096,train,2.0,0,1,1,8600.726320289825,389.250033426576,0.9682676337736525,3.529371195146955
train_097,train,3.0,0,1,1,8943.882188596779,609.069516894476,0.9309256853815446,3.3044603870473934
train_098,train,1.0,0,1,1,8646.445883084718,362.3386272597024,0.9726700069683651,3.6051060798406316
train_099,train,3.0,0,1,1,8553.320452634662,369.69390381078455,0.9709768886977546,3.3875738367493016
train_100,train,5.0,0,1,1,8580.185252881847,354.5444460992613,0.9734072886094223,3.6047397827246166
train_101,train,2.0,0,1,1,8680.517961491398,406.8979389406991,0.9660379520220149,3.4673905852745217
train_102,train,2.0,0,1,1,8836.076824731319,489.92848555031503,0.953117286013359,3.3580656405113003
train_103,train,3.0,0,1,1,8531.986247008566,341.0636282612139,0.9750697749335774,3.353527350313855
train_104,train,1.0,0,1,1,8789.112219080853,417.9145051993821,0.965088229603432,3.7303106399742267
train_105,train,4.0,0,1,1,8812.079005114992,469.8392791541862,0.9564944833123873,3.5192377076104937
train_106,train,1.0,0,1,1,8724.19937929861,399.12327922747284,0.9675975610145533,3.52590674704118
train_107,train,3.0,0,1,1,9043.674255204347,563.3445992587707,0.9415452728045208,3.587697908980877
train_108,train,1.0,0,1,1,8515.825556774511,355.20101370381946,0.9729173710095016,3.074810389255089
train_109,train,3.0,0,1,1,8613.082165126667,326.2996649396454,0.9775520872727389,3.288794057944161
train_110,train,1.0,0,1,1,8715.667994440118,379.6468924052308,0.9705361140388953,3.2072275162544983
train_111,train,3.0,0,1,1,9054.744036057118,674.3406294925837,0.9184917548847942,3.329849501109008
train_112,train,1.0,0,1,1,8689.755737306428,366.7248232620466,0.9722934270695556,3.343758198344159
train_113,train,3.0,0,1,1,8714.113537000943,404.83445539879534,0.9666201534086062,3.407846509027152
train_114,train,3.0,0,1,1,8685.10225485549,408.8914866821548,0.9657507320309132,3.323942807943704
train_115,train,3.0,0,1,1,8634.752852976038,388.46553599992177,0.9686322006044102,3.6616961608719336
train_116,train,4.0,0,1,1,8753.085171799235,416.31935597248366,0.9650691376504626,3.4658684169172047
train_117,train,1.0,0,1,1,8727.065162861585,385.5113313763048,0.9697234937549226,3.3306340655794715
train_118,train,2.0,0,1,1,8539.093763462035,345.56845937312903,0.9744652867890088,3.4995331303463004
train_119,train,2.0,0,1,1,8898.324649170137,639.6841654819044,0.9236283871104484,3.1293923981898235
train_120,train,5.0,0,1,1,8764.894527346018,427.39417151470553,0.9633504953197057,2.8730845012138824
test_001,test,,0,1,1,8582.526693802196,366.7126443516921,0.9716183820792972,3.777183257115454
test_002,test,,0,1,1,8440.867739059071,314.38760373988714,0.9782858716479343,2.8696789287755333
test_003,test,,0,1,1,8591.004252227789,342.89609109954114,0.9751442960170943,3.6077199547710914
test_004,test,,0,1,1,8518.613905353282,566.5696514144348,0.933901756261447,2.764196891312466
test_005,test,,0,1,1,8724.363770189471,424.04191421810276,0.9635785567820453,3.537053448371503
test_006,test,,0,1,1,8737.483299207577,432.2979302321463,0.9623097962935199,3.4651530690125916
