model,repeat,seed,sample_id,y_true,p1,p2,p3,p4,p5
ae_pca_mlp,0,ensemble,train_001,2,4.429799866997341e-05,0.9999513279839922,3.6965406867496535e-06,2.580699302407349e-07,4.194067208752868e-07
ae_pca_mlp,0,ensemble,train_002,5,0.0014350640440311576,0.042842184022466534,0.9488784522927283,0.006561314025366247,0.0002829856154077986
ae_pca_mlp,0,ensemble,train_003,2,0.0024139067684107425,0.17390333933398144,0.8178651763199494,0.0004843108317977698,0.005333266745860696
ae_pca_mlp,0,ensemble,train_004,4,0.00030677857689498947,0.004267577737464427,0.7216913683157936,0.26878554572420327,0.004948729645643559
ae_pca_mlp,0,ensemble,train_005,5,5.953883692945277e-05,0.0018606431247822335,0.00941351542107196,0.045105977236180525,0.9435603253810358
ae_pca_mlp,0,ensemble,train_006,2,0.00730351390134707,0.9902048175160785,0.0008449530961692851,0.0015762158628623694,7.049962354283094e-05
ae_pca_mlp,0,ensemble,train_007,2,0.0009799765702785106,0.005692897591644715,0.898529477364746,0.0651093446884773,0.029688303784853418
ae_pca_mlp,0,ensemble,train_008,5,0.006370371813030981,0.008488851458740867,0.01770014514766094,0.25058315825159744,0.7168574733289699
ae_pca_mlp,0,ensemble,train_009,3,0.007211169653879534,0.0001909749487546811,0.9446352855288823,0.04761361584602161,0.00034895402246184554
ae_pca_mlp,0,ensemble,train_010,2,0.0005819002257390554,0.9931437101063377,0.005871614763347722,0.00034075151475755806,6.202338981820368e-05
ae_pca_mlp,0,ensemble,train_011,3,0.01823699832155106,0.6203902141565111,0.35689424518600377,0.0038119504697352474,0.0006665918661987272
ae_pca_mlp,0,ensemble,train_012,5,0.07977525361223814,0.3936709223041104,0.0008479497785002135,0.0012808599323439367,0.5244250143728074
ae_pca_mlp,0,ensemble,train_013,2,0.0012236759297826983,0.007840640813159,0.9743025372089275,0.010347729886478542,0.006285416161652309
ae_pca_mlp,0,ensemble,train_014,5,0.16157017168949847,0.5406479121266496,0.000131644831137959,0.25663140406971474,0.041018867282999125
ae_pca_mlp,0,ensemble,train_015,3,3.9838902864936874e-05,0.9973590865095484,0.0024798559369548197,8.210265379635627e-05,3.9115996835573817e-05
ae_pca_mlp,0,ensemble,train_016,4,0.0005269986533481756,0.039392893875518864,0.0005731960973309864,0.12670373406764865,0.8328031773061533
ae_pca_mlp,0,ensemble,train_017,2,0.013962815268148061,0.0007606798086546004,0.9848156267286283,0.00040094511784641957,5.993307672241452e-05
ae_pca_mlp,0,ensemble,train_018,5,0.0030476409824809424,0.0071726642487814855,0.08703440335159512,0.865697377682537,0.03704791373460564
ae_pca_mlp,0,ensemble,train_019,3,0.046334247429510006,0.5114329302025677,0.43917820952358055,0.002511538959052154,0.0005430738852894046
ae_pca_mlp,0,ensemble,train_020,2,0.0002551335222233995,0.9961554460298251,0.00014716617043045597,0.0032649661635666726,0.00017728811395448439
ae_pca_mlp,0,ensemble,train_021,5,0.0001624294995774761,0.011007060000210598,0.9347718442201264,0.0018588438281823055,0.05219982245190322
ae_pca_mlp,0,ensemble,train_022,4,0.7426790343840519,0.06954069779143486,0.00307905258115102,0.004321762960884152,0.18037945228247804
ae_pca_mlp,0,ensemble,train_023,3,0.00010937091485087526,0.00013548006134205584,0.9533884990054307,0.0007753126378710589,0.045591337380505435
ae_pca_mlp,0,ensemble,train_024,5,0.0029152242531196096,0.04779019832422019,0.0001500257299079849,0.00017370997300344181,0.9489708417197488
ae_pca_mlp,0,ensemble,train_025,5,0.00018433768582404571,3.489354991705716e-05,0.8235867186566491,0.0030494005870610806,0.17314464952054884
ae_pca_mlp,0,ensemble,train_026,3,0.00024251207176330123,1.3142948147685196e-05,0.9942569311257511,0.003779672458134439,0.0017077413962035648
ae_pca_mlp,0,ensemble,train_027,2,0.0009604055522391264,0.03555922734116033,0.9610549251914036,0.0013885507234875647,0.0010368911917094596
ae_pca_mlp,0,ensemble,train_028,4,0.00041612674232281477,0.00013094881671176962,0.8040105134738265,0.19508405073703364,0.00035836023010538316
ae_pca_mlp,0,ensemble,train_029,2,0.0001575299547588199,0.9997613950912257,5.012349644160076e-05,1.0857622018429636e-06,2.986569537219577e-05
ae_pca_mlp,0,ensemble,train_030,5,4.884463756846375e-05,0.014923827064036058,0.9762352790292141,0.0007020730157210394,0.008089976253460576
ae_pca_mlp,0,ensemble,train_031,4,9.640655824567608e-05,0.00011489295768483435,0.9424888082251506,0.046990176346496236,0.010309715912422586
ae_pca_mlp,0,ensemble,train_032,3,0.004146827034392564,0.01853202369487849,0.4775796366352848,0.18628883848141956,0.31345267415402445
ae_pca_mlp,0,ensemble,train_033,1,0.30338290660215483,0.5867037046366884,0.061402280474023505,0.0016882139673308266,0.04682289431980237
ae_pca_mlp,0,ensemble,train_034,2,9.197213381990316e-05,0.38299323506455407,0.6162709683928925,0.000308974817204084,0.0003348495915294442
ae_pca_mlp,0,ensemble,train_035,2,0.7888329423744496,0.1324482780124983,0.016171110502437844,0.006150365203349802,0.05639730390726456
ae_pca_mlp,0,ensemble,train_036,2,0.014612956572203824,0.9687206216390637,0.016279897497358663,0.00033435594349454003,5.216834787940272e-05
