level,shot,d2,chi2_975,PC1,PC2,ev_PC1_before,ev_PC2_before,ev_PC3_before,ev_PC1_after,ev_PC2_after,ev_PC3_after
1,1,175.5193620967206,7.377758908227871,858.9513825001757,440.22484500330023,0.7848445279422377,0.15800812128495376,0.008731451001247286,0.8287945487421708,0.05642471271946515,0.01699535387743472
1,2,11.891039114798975,7.377758908227871,151.83052391131372,136.20333968727527,0.7848445279422377,0.15800812128495376,0.008731451001247286,0.8287945487421708,0.05642471271946515,0.01699535387743472
2,1,187.28370186566627,7.377758908227871,886.0767920026731,462.490601266983,0.8040885250227596,0.1601806076931373,0.007121430911801184,0.8991644141237355,0.028988538016505312,0.016739639892218633
2,2,7.511097624923925,7.377758908227871,167.50581602163933,96.23781243523275,0.8040885250227596,0.1601806076931373,0.007121430911801184,0.8991644141237355,0.028988538016505312,0.016739639892218633
3,1,186.79303443391805,7.377758908227871,783.9064273152641,475.09821061231844,0.823790617063203,0.14471280088164487,0.0054311058296805026,0.922072905592279,0.01760364383238434,0.010411934056705723
3,2,8.65427727151505,7.377758908227871,160.30645601714943,104.61723806336457,0.823790617063203,0.14471280088164487,0.0054311058296805026,0.922072905592279,0.01760364383238434,0.010411934056705723
4,1,179.42249905119792,7.377758908227871,620.1095640199742,429.34602675775426,0.8402716024352767,0.10490989165263193,0.00606023330605653,0.8848724896768622,0.02773231472754898,0.011731350824885323
4,2,7.248580443205743,7.377758908227871,-72.63309298862086,93.42422933669994,0.8402716024352767,0.10490989165263193,0.00606023330605653,0.8848724896768622,0.02773231472754898,0.011731350824885323
5,1,165.40593796007215,7.377758908227871,525.7239821947128,427.7448763452831,0.8245589403760444,0.10721490156152358,0.01089985472412756,0.8760564882197346,0.03250017356210075,0.014031583330637736
5,2,13.468048921601794,7.377758908227871,44.80686610712904,132.5253876869918,0.8245589403760444,0.10721490156152358,0.01089985472412756,0.8760564882197346,0.03250017356210075,0.014031583330637736
