level,shot,d2,chi2_975,PC1,PC2,ev_PC1_before,ev_PC2_before,ev_PC3_before,ev_PC1_after,ev_PC2_after,ev_PC3_after
1,1,175.5193620967206,7.377758908227871,858.9513825001757,440.22484500330023,0.7848445279422377,0.15800812128495376,0.008731451001247286,0.8287945487421708,0.05642471271946515,0.01699535387743472
1,2,11.891039114798975,7.377758908227871,151.83052391131372,136.20333968727527,0.7848445279422377,0.15800812128495376,0.008731451001247286,0.8287945487421708,0.05642471271946515,0.01699535387743472
2,1,187.28370186566627,7.377758908227871,886.0767920026731,462.490601266983,0.8040885250227596,0.1601806076931373,0.007121430911801184,0.87622470641671,0.05953412527011638,0.013376507166944454
2,6,11.18685206444199,7.377758908227871,-243.00971399440039,101.7593318297161,0.8040885250227596,0.1601806076931373,0.007121430911801184,0.87622470641671,0.05953412527011638,0.013376507166944454
3,1,186.79303443391805,7.377758908227871,783.9064273152641,475.09821061231844,0.823790617063203,0.14471280088164487,0.0054311058296805026,0.9019297290447146,0.04753213623263862,0.006850542730382807
3,5,11.363520473925753,7.377758908227871,-273.3720158419425,84.67939556263775,0.823790617063203,0.14471280088164487,0.0054311058296805026,0.9019297290447146,0.04753213623263862,0.006850542730382807
4,1,179.42249905119792,7.377758908227871,620.1095640199742,429.34602675775426,0.8402716024352767,0.10490989165263193,0.00606023330605653,0.8784911969202439,0.03138112619084077,0.013513599238205635
4,3,10.354169621140908,7.377758908227871,-255.46651840915038,72.52700534279467,0.8402716024352767,0.10490989165263193,0.00606023330605653,0.8784911969202439,0.03138112619084077,0.013513599238205635
5,1,165.40593796007215,7.377758908227871,525.7239821947128,427.7448763452831,0.8245589403760444,0.10721490156152358,0.01089985472412756,0.8760564882197346,0.03250017356210075,0.014031583330637736
5,2,13.468048921601794,7.377758908227871,44.80686610712904,132.5253876869918,0.8245589403760444,0.10721490156152358,0.01089985472412756,0.8760564882197346,0.03250017356210075,0.014031583330637736
