level,shot,d2,chi2_975,PC1,PC2,ev_PC1_before,ev_PC2_before,ev_PC3_before,ev_PC1_after,ev_PC2_after,ev_PC3_after
1,1,57.430778561314824,7.377758908227871,26.759513407418332,37.55691925400036,0.7176231165430589,0.225768921532297,0.02969632350721218,0.796469893342908,0.17230344265118,0.004035090529481323
1,2,34.53180510634892,7.377758908227871,32.98546364382718,25.32322894438503,0.7176231165430589,0.225768921532297,0.02969632350721218,0.796469893342908,0.17230344265118,0.004035090529481323
2,1,98.83623344627395,7.377758908227871,32.309862147222574,45.77827425859306,0.7997532051579936,0.16193898630701453,0.026299323304850453,0.9094233278277976,0.07873413634782651,0.0022397645707711495
2,2,43.651605480608225,7.377758908227871,32.9807792685062,28.260631252094385,0.7997532051579936,0.16193898630701453,0.026299323304850453,0.9094233278277976,0.07873413634782651,0.0022397645707711495
3,1,90.61373141151586,7.377758908227871,12.202559176872686,51.37060920125156,0.7455093864170339,0.20721299937587398,0.033232591037502444,0.8858201911033453,0.10056489467343363,0.003856287243129937
3,2,44.93116404559069,7.377758908227871,16.215361012815656,35.439625574930986,0.7455093864170339,0.20721299937587398,0.033232591037502444,0.8858201911033453,0.10056489467343363,0.003856287243129937
4,1,94.24369705808958,7.377758908227871,19.719051581268243,50.21920389347815,0.7719808838920792,0.17902854184436554,0.028274814240568723,0.881032307321692,0.09568138959535682,0.003315627271522764
4,2,34.59091729628771,7.377758908227871,26.851878787884605,28.13435873881427,0.7719808838920792,0.17902854184436554,0.028274814240568723,0.881032307321692,0.09568138959535682,0.003315627271522764
5,1,79.85028778028484,7.377758908227871,29.544575644274815,48.727559599356645,0.7414935845512718,0.20754568262533066,0.029009157459984513,0.847915335679459,0.12481169392499653,0.004095083921322751
5,2,39.11139325660375,7.377758908227871,31.766600957223197,31.626053426002727,0.7414935845512718,0.20754568262533066,0.029009157459984513,0.847915335679459,0.12481169392499653,0.004095083921322751
