model,repeat,seed,sample_id,y_true,p1,p2,p3,p4,p5
pool,0,42,train_001,2,0.42333900928497314,0.44081929326057434,0.10629626363515854,0.013037379831075668,0.01650802232325077
pool,0,42,train_002,5,0.10742391645908356,0.27177536487579346,0.2310894876718521,0.20055672526359558,0.1891545057296753
pool,0,42,train_003,2,0.30252495408058167,0.18417292833328247,0.3508932292461395,0.11840132623910904,0.044007591903209686
pool,0,42,train_004,4,0.09297340363264084,0.2748977839946747,0.3225085139274597,0.14858776330947876,0.1610325127840042
pool,0,42,train_005,5,0.07829340547323227,0.24572868645191193,0.26287052035331726,0.20296762883663177,0.21013979613780975
pool,0,42,train_006,2,0.11294780671596527,0.6894787549972534,0.13721144199371338,0.04298165813088417,0.01738034561276436
pool,0,42,train_007,2,0.18492484092712402,0.16504018008708954,0.22525425255298615,0.26509350538253784,0.15968725085258484
pool,0,42,train_008,5,0.18328621983528137,0.1849524974822998,0.22798371315002441,0.22527748346328735,0.17850008606910706
pool,0,42,train_009,3,0.13013629615306854,0.25920239090919495,0.3349743187427521,0.13830064237117767,0.137386292219162
pool,0,42,train_010,2,0.10571544617414474,0.1407853215932846,0.22573453187942505,0.25414425134658813,0.27362045645713806
pool,0,42,train_011,3,0.07460638135671616,0.19118890166282654,0.2768169045448303,0.2406124472618103,0.2167753428220749
pool,0,42,train_012,5,0.3469056785106659,0.43418532609939575,0.15620212256908417,0.050354622304439545,0.01235230267047882
pool,0,42,train_013,2,0.15631091594696045,0.1815851479768753,0.2175600677728653,0.2698853611946106,0.17465853691101074
pool,0,42,train_014,5,0.018464969471096992,0.08788889646530151,0.07887881994247437,0.3203122913837433,0.4944550096988678
pool,0,42,train_015,3,0.11751578003168106,0.30870521068573,0.3206515312194824,0.11776308715343475,0.1353643834590912
pool,0,42,train_016,4,0.11227894574403763,0.2572604715824127,0.31001123785972595,0.14523649215698242,0.17521290481090546
pool,0,42,train_017,2,0.6985093355178833,0.07459179311990738,0.18603871762752533,0.03418606519699097,0.0066740442998707294
pool,0,42,train_018,5,0.14323832094669342,0.23335595428943634,0.20762884616851807,0.17936627566814423,0.23641052842140198
pool,0,42,train_019,3,0.12014570087194443,0.29021692276000977,0.29646897315979004,0.14228761196136475,0.15088079869747162
pool,0,42,train_020,2,0.15062110126018524,0.17639434337615967,0.21378421783447266,0.2670302391052246,0.19217005372047424
pool,0,42,train_021,5,0.17553462088108063,0.1460389941930771,0.2157149761915207,0.29767343401908875,0.16503794491291046
pool,0,42,train_022,4,0.2197318822145462,0.1775200515985489,0.18142952024936676,0.2066194862127304,0.21469907462596893
pool,0,42,train_023,3,0.1375577747821808,0.1687459647655487,0.2041725218296051,0.27719393372535706,0.21232974529266357
pool,0,42,train_024,5,0.24417296051979065,0.20933789014816284,0.19285915791988373,0.17144277691841125,0.18218721449375153
pool,0,42,train_025,5,0.08246474713087082,0.1873030960559845,0.2849991023540497,0.2205101102590561,0.2247229367494583
pool,0,42,train_026,3,0.18422946333885193,0.15292702615261078,0.22978290915489197,0.2675536870956421,0.16550685465335846
pool,0,42,train_027,2,0.2495785653591156,0.4356963336467743,0.15810219943523407,0.06372206658124924,0.09290078282356262
pool,0,42,train_028,4,0.05918478965759277,0.19348178803920746,0.2757246196269989,0.25213736295700073,0.21947142481803894
pool,0,42,train_029,2,0.45745134353637695,0.37696951627731323,0.09691207855939865,0.03130895644426346,0.037358079105615616
pool,0,42,train_030,5,0.1416957676410675,0.20842485129833221,0.2142021358013153,0.22608506679534912,0.20959211885929108
pool,0,42,train_031,4,0.16680513322353363,0.1463334858417511,0.2105274647474289,0.2973718047142029,0.17896214127540588
pool,0,42,train_032,3,0.06919893622398376,0.20139892399311066,0.24753031134605408,0.24211813509464264,0.23975367844104767
pool,0,42,train_033,1,0.2674497365951538,0.2717369496822357,0.1776307374238968,0.13124895095825195,0.15193359553813934
pool,0,42,train_034,2,0.1437641680240631,0.18117515742778778,0.21073903143405914,0.2811746299266815,0.18314704298973083
pool,0,42,train_035,2,0.5986886024475098,0.22073449194431305,0.05558893829584122,0.0813574492931366,0.043630532920360565
pool,0,42,train_036,2,0.11217384785413742,0.1615685373544693,0.2535335421562195,0.23423387110233307,0.2384902536869049
pool,0,42,train_037,2,0.04757942631840706,0.4098758399486542,0.13166144490242004,0.16829237341880798,0.24259093403816223
pool,0,42,train_038,3,0.13688647747039795,0.18932422995567322,0.18256206810474396,0.27631375193595886,0.21491342782974243
pool,0,42,train_039,3,0.08051329851150513,0.1190706118941307,0.16012582182884216,0.358112633228302,0.28217771649360657
pool,0,42,train_040,2,0.07016231119632721,0.3605434000492096,0.1895821988582611,0.1711263656616211,0.2085857093334198
pool,0,42,train_041,3,0.1720103919506073,0.1676565557718277,0.22858759760856628,0.2618230879306793,0.169922336935997
pool,0,42,train_042,2,0.16221533715724945,0.201868936419487,0.2814837396144867,0.1577509492635727,0.19668106734752655
pool,0,42,train_043,4,0.046117380261421204,0.20633664727210999,0.14820168912410736,0.29605138301849365,0.3032929301261902
pool,0,42,train_044,3,0.16765359044075012,0.1739405244588852,0.23492784798145294,0.24184919893741608,0.18162886798381805
pool,0,42,train_045,3,0.0366973876953125,0.16615885496139526,0.13756057620048523,0.30248692631721497,0.35709625482559204
pool,0,42,train_046,4,0.10776591300964355,0.2599121034145355,0.32079067826271057,0.1591210961341858,0.15241022408008575
